nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:49:32.229[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 1700, Temperature: 322.93 K, Total Energy: -30031.317352 eV
Step: 1720, Temperature: 317.38 K, Total Energy: -30031.301006 eV
Step: 1740, Temperature: 317.49 K, Total Energy: -30031.966125 eV
Step: 1760, Temperature: 327.67 K, Total Energy: -30031.713456 eV
Step: 1780, Temperature: 304.73 K, Total Energy: -30031.371723 eV
Step: 1800, Temperature: 315.66 K, Total Energy: -30031.479207 eV
Step: 1820, Temperature: 306.31 K, Total Energy: -30031.486308 eV
Step: 1840, Temperature: 339.86 K, Total Energy: -30031.142596 eV
Step: 1860, Temperature: 320.57 K, Total Energy: -30031.478435 eV
Step: 1880, Temperature: 279.30 K, Total Energy: -30031.784192 eV
Step: 1900, Temperature: 315.41 K, Total Energy: -30032.307616 eV
Step: 1920, Temperature: 301.39 K, Total Energy: -30032.110404 eV
Step: 1940, Temperature: 297.43 K, Total Energy: -30031.936656 eV
Step: 1960, Temperature: 299.18 K, Total Energy: -30032.376874 eV
Step: 1980, Temperature: 289.31 K, Total Energy: -30032.350341 eV
Step: 2000, Temperature: 309.25 K, Total Energy: -30031.812514 eV
Step: 2020, Temperature: 323.58 K, Total Energy: -30031.904484 eV
Step: 2040, Temperature: 320.27 K, Total Energy: -30031.280768 eV
Step: 2060, Temperature: 322.20 K, Total Energy: -30031.589633 eV
Step: 2080, Temperature: 301.32 K, Total Energy: -30031.303524 eV
Step: 2100, Temperature: 314.55 K, Total Energy: -30032.110715 eV
Step: 2120, Temperature: 288.77 K, Total Energy: -30032.481178 eV
Step: 2140, Temperature: 298.92 K, Total Energy: -30032.244843 eV
Step: 2160, Temperature: 296.63 K, Total Energy: -30032.746008 eV
Step: 2180, Temperature: 322.52 K, Total Energy: -30032.577760 eV
Step: 2200, Temperature: 337.37 K, Total Energy: -30031.892865 eV
Step: 2220, Temperature: 323.69 K, Total Energy: -30031.997533 eV
Step: 2240, Temperature: 329.99 K, Total Energy: -30031.735024 eV
Step: 2260, Temperature: 330.40 K, Total Energy: -30031.804794 eV
Step: 2280, Temperature: 320.46 K, Total Energy: -30031.955901 eV
Step: 2300, Temperature: 327.44 K, Total Energy: -30032.096319 eV
Step: 2320, Temperature: 309.40 K, Total Energy: -30032.474837 eV
Step: 2340, Temperature: 324.07 K, Total Energy: -30032.665521 eV
Step: 2360, Temperature: 301.19 K, Total Energy: -30032.318508 eV
Step: 2380, Temperature: 295.17 K, Total Energy: -30032.610925 eV
Step: 2400, Temperature: 299.26 K, Total Energy: -30032.251850 eV
Step: 2420, Temperature: 296.54 K, Total Energy: -30032.580272 eV
Step: 2440, Temperature: 296.45 K, Total Energy: -30032.219150 eV
Step: 2460, Temperature: 316.92 K, Total Energy: -30032.308601 eV
Step: 2480, Temperature: 315.67 K, Total Energy: -30032.410618 eV
Step: 2500, Temperature: 297.80 K, Total Energy: -30032.622662 eV
Step: 2520, Temperature: 296.61 K, Total Energy: -30032.814834 eV
Step: 2540, Temperature: 293.74 K, Total Energy: -30033.449715 eV
Step: 2560, Temperature: 282.96 K, Total Energy: -30033.324712 eV
Step: 2580, Temperature: 273.02 K, Total Energy: -30033.251057 eV
Step: 2600, Temperature: 303.89 K, Total Energy: -30033.334404 eV
Step: 2620, Temperature: 305.46 K, Total Energy: -30032.759625 eV
Step: 2640, Temperature: 306.04 K, Total Energy: -30032.428621 eV
Step: 2660, Temperature: 314.83 K, Total Energy: -30032.037260 eV
Step: 2680, Temperature: 317.30 K, Total Energy: -30032.275668 eV
Step: 2700, Temperature: 311.80 K, Total Energy: -30032.783513 eV
Step: 2720, Temperature: 293.76 K, Total Energy: -30033.466756 eV
Step: 2740, Temperature: 308.09 K, Total Energy: -30033.263573 eV
Step: 2760, Temperature: 298.72 K, Total Energy: -30033.583730 eV
Step: 2780, Temperature: 282.92 K, Total Energy: -30033.886272 eV
Step: 2800, Temperature: 295.41 K, Total Energy: -30033.813678 eV
Step: 2820, Temperature: 306.63 K, Total Energy: -30033.226364 eV
Step: 2840, Temperature: 315.87 K, Total Energy: -30033.175002 eV
Step: 2860, Temperature: 308.42 K, Total Energy: -30033.286660 eV
Step: 2880, Temperature: 294.13 K, Total Energy: -30033.324502 eV
