,T,E
293,297.8430387649383,-30032.500472827993
294,310.38821363490644,-30032.69402864871
295,285.76974542119837,-30032.97275728222
296,305.9533453445837,-30032.651515694513
297,318.5795339977281,-30032.55787325683
298,296.4924422117073,-30032.397796797697
299,302.83637639912916,-30032.634377926344
300,328.1816519724446,-30032.226001485942
301,309.44765541810733,-30032.305626693716
302,324.4912389476922,-30032.71550527218
303,304.862637787631,-30032.718070232422
304,299.5921435530532,-30032.69857293276
305,278.39890323565754,-30033.1644038295
306,295.8485489721296,-30033.08590157188
307,308.4467524893049,-30033.151167643897
308,297.4098256122392,-30033.413736014958
309,294.1003360828587,-30033.520591486187
310,290.2472331763864,-30033.86575848335
311,271.8104727506241,-30033.64882914904
312,287.43610199994055,-30033.489349362808
313,297.4744962392104,-30033.244137197104
314,302.4159337679395,-30033.53755359849
315,301.76415944418886,-30034.27663827085
316,288.89031293751793,-30034.01324184592
317,310.0882769915826,-30033.463307509137
318,292.0001068168733,-30034.23954484159
319,279.74471743414483,-30033.82384102735
320,290.6060243024068,-30034.475855530007
321,270.4052358415434,-30034.838545991683
322,308.558601558482,-30034.021395285792
323,297.8686313208403,-30033.32795274993
324,318.28818825453396,-30033.717560577676
325,291.1067442040251,-30033.553078288773
326,278.462668975138,-30033.48310906996
327,296.84876502541897,-30033.322409184875
328,313.3797671212278,-30032.97214010022
329,315.6372171862258,-30033.0832082609
330,309.400641904027,-30033.154467951834
331,320.448793693833,-30033.01271039909
332,322.6775379495411,-30032.860830234535
333,309.1238618531178,-30032.73566313434
334,312.6979750073244,-30033.49127826673
335,298.73995552989004,-30033.20833417095
336,277.4159020474712,-30033.476290428935
337,294.7199597707339,-30033.555754692825
338,301.66293257028616,-30033.47645538918
339,275.0104984757259,-30033.714654663665
340,305.45924255345807,-30033.351469896905
341,297.6307036765069,-30033.37301238067
342,286.5437264780433,-30034.115357929677
343,294.67970812353667,-30034.123175513418
344,308.11484211935914,-30033.3157836742
345,297.57188924433694,-30033.02683858909
346,283.05366177490953,-30033.54903054798
347,314.9956526584133,-30033.382582463295
348,284.5617820534318,-30033.024689208894
349,311.8055678807876,-30033.27549075522
350,300.74401350792135,-30032.767195504337
351,323.32623491178555,-30032.490963754197
352,305.67008910094796,-30032.95357723893
353,263.89582951595884,-30034.22137007766
354,278.57589306269125,-30034.33181767857
355,297.4536140990364,-30034.25638229588
356,274.3544250430796,-30034.135488323034
357,276.27434133252916,-30034.15154863084
358,284.59540704755426,-30033.887122917673
359,287.34381595395445,-30033.92331612139
360,276.5843797099834,-30034.07732764923
361,279.29927292919473,-30034.639756264005
362,273.3905787809917,-30034.620720234318
363,274.6268750652634,-30034.925496031898
364,292.18480924367645,-30034.602076789248
365,301.05243794367317,-30034.653952703236
366,288.13178222398227,-30034.78822051188
367,290.4399288398721,-30034.30816708095
368,294.8271164948727,-30034.435866233525
369,307.00894504584875,-30034.546783574373
370,279.6431815888197,-30034.28147843352
371,284.8195684167315,-30034.543582150414
372,274.9877778106152,-30034.619524228732
373,286.63439846980594,-30034.36502560445
374,293.0971077525802,-30034.081034799718
375,310.92051800495335,-30033.762642799116
376,270.71149950580013,-30033.955826404326
377,302.6354123167956,-30033.537880864955
378,289.3673414703356,-30033.655514887014
379,299.9834321759349,-30033.49144460755
380,297.7598384327363,-30033.078741824876
381,333.6452107700578,-30032.541413709838
382,327.61606067866825,-30032.87697635546
383,312.4301155215763,-30032.957014225223
384,326.6767048572175,-30033.324481593256
385,300.0370738152691,-30033.884623782953
386,308.93533796852614,-30034.154477509164
387,294.2224246285456,-30034.00188916
388,277.8501259447344,-30034.053236140455
389,298.1077785827195,-30033.630518627888
390,284.91361503085955,-30033.8439460155
391,280.34804666356496,-30033.92191494708
392,306.3891785318189,-30033.601467717766
393,295.132018601448,-30033.85982159017
394,314.6944574211662,-30033.73587742245
395,326.70732342319417,-30033.485819206137
396,328.0678914462523,-30032.83238452364
397,317.7636925477475,-30033.226874604516
398,298.5193279135121,-30033.262723367527
399,319.36167925535256,-30033.047924369963
400,314.37719603552665,-30033.579811714975
401,306.5378042217417,-30033.377018379513
402,308.7468401259233,-30032.721728727585
403,287.3550925552653,-30033.296078761858
404,323.1418021493223,-30033.37451875946
405,293.0035870065586,-30034.265032679767
406,288.4923694393359,-30034.593584786868
407,291.18980746184286,-30034.463093996943
408,293.9561556336751,-30033.72149127907
409,335.6116217517261,-30033.181302086792
410,317.7255219802167,-30033.126274220056
411,325.736008578388,-30032.85795811821
412,275.10986700602325,-30033.48558751117
413,305.871089981043,-30033.243432747808
414,317.57480750872475,-30032.811713707488
415,317.38508526550083,-30032.47665203777
416,288.1158289114906,-30033.00737262615
417,292.5875480202224,-30033.69739423
418,299.4668084969426,-30033.37946646449
419,314.04026671156737,-30033.434007376483
420,293.36641268629455,-30033.40823115771
421,308.30733341305614,-30033.266009923085
422,305.0867340109155,-30033.099140482213
423,317.5904535806412,-30033.79374121243
424,289.38468898183,-30034.328905755992
425,294.7137808413623,-30033.82348856201
426,285.2712835424799,-30033.92868073343
427,308.97373408968787,-30033.73554095839
428,282.9192824281366,-30033.857105172305
429,313.09985067453806,-30033.422554962748
430,305.1176593826202,-30033.72336098684
431,305.83173306424595,-30033.4299716411
432,295.18069901782025,-30033.842969566624
433,309.722978371718,-30033.759624488357
434,273.45879218483026,-30034.167828993322
435,263.08957124364713,-30034.677239249726
436,282.91390956522264,-30035.021303099027
437,273.7240899839115,-30035.21192322891
438,295.5436401384552,-30034.6560870098
439,298.84725414451475,-30033.9634421352
440,334.19025537601607,-30034.15462860879
441,310.05703536457327,-30033.860579350938
442,273.609201852913,-30034.61130343867
443,281.6471231894441,-30034.322764575278
444,278.9404057849674,-30034.307004883438
