,T,E
115,271.97460318492125,-30033.33023652794
116,282.7924406904931,-30033.264885395503
117,278.7157403410534,-30033.078951208463
118,301.93055814884144,-30032.618042292608
119,298.24085399542713,-30032.752581793276
120,272.21851618600647,-30032.9765268667
121,293.93401348059723,-30032.974702954463
122,304.33794901004114,-30032.925483379582
123,300.51396283790234,-30032.717652354484
124,313.0689504906686,-30032.495907533652
125,269.95960260725843,-30033.208369633692
126,285.293495951456,-30033.919611302703
127,277.78027661883,-30033.50060496421
128,263.84937187081385,-30033.270169048566
129,265.2114894838364,-30033.01566100937
130,297.54138769617157,-30032.6703317109
131,316.39610476341704,-30032.737553263793
132,271.21975071214445,-30032.59897038971
133,319.16195668512387,-30031.752894970934
134,301.9258245852634,-30031.842769144772
135,313.31400786070594,-30031.70271634656
136,295.328488450912,-30032.067048123237
137,265.27392093297874,-30032.918408466197
138,287.1441302611812,-30032.440088674422
139,288.25569013429003,-30032.705470830006
140,293.42336770723887,-30032.715891741005
141,320.5762585705205,-30032.792013702092
142,292.49008367239816,-30032.666788276467
143,278.5708241765305,-30032.30129772499
144,302.7755267070204,-30032.27090006282
145,286.1859995354995,-30032.299804977854
146,300.0536285527543,-30032.570873764977
147,329.18580198372365,-30031.998264691716
148,312.78372834569785,-30032.35259552657
149,335.43182723488974,-30032.23778264061
150,288.932367607691,-30032.628130233446
151,291.71978446222715,-30032.590202368996
152,302.0845059493677,-30032.48531537974
153,300.0534520285164,-30032.59236252094
154,284.8206598887684,-30032.902049231197
155,328.19779509434693,-30033.23176933413
156,294.6875694095605,-30033.331001270202
157,313.9400659800788,-30033.001632016643
158,296.5130616958798,-30033.076711989434
159,298.2112125128228,-30033.362692432962
160,272.834057839378,-30033.5921097835
161,282.73660888882154,-30033.180333524208
162,264.04616431123117,-30033.396144446222
163,275.39336380669306,-30033.09304627983
164,272.96474581788726,-30032.977538255833
165,293.80828537460667,-30032.573526388453
166,289.7211470718789,-30033.133944999612
167,298.3280913735481,-30032.678151118755
168,308.58068606224475,-30032.60534375745
169,283.60603418065534,-30031.74859995437
170,311.40164430092494,-30032.162286590898
171,315.7905630720666,-30032.28578466882
172,289.96171883038454,-30032.04008388603
173,299.75153612172323,-30032.318605443154
174,303.7575987766704,-30032.635198960237
175,288.9256386243989,-30032.671265982757
176,302.26677556781283,-30032.781573078504
177,278.32802261449126,-30032.953807927635
178,297.5987135832843,-30032.79195587711
179,301.9501529340396,-30032.906618490968
180,292.19244505774674,-30032.935893795227
181,309.281031403328,-30032.630931398842
182,308.0910682840385,-30032.679995048074
183,303.7909431367254,-30032.230074547864
184,304.07297309136317,-30032.045340778444
185,314.12587127791846,-30032.305614467226
186,287.23209049373247,-30032.308999435165
187,291.4031129377155,-30032.588295869824
188,301.20194333288583,-30032.499406240535
189,302.51597344929496,-30032.47460725757
190,310.4836900991909,-30032.56397454692
191,306.11558619676407,-30032.29933488743
