nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:15:48.043[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../../baseline/results/best_model.pth[0m
Step: 1700, Temperature: 295.21 K, Total Energy: -30032.769321 eV
Step: 1720, Temperature: 294.73 K, Total Energy: -30032.947103 eV
Step: 1740, Temperature: 287.02 K, Total Energy: -30033.243903 eV
Step: 1760, Temperature: 287.52 K, Total Energy: -30033.069362 eV
Step: 1780, Temperature: 285.18 K, Total Energy: -30032.533849 eV
Step: 1800, Temperature: 299.52 K, Total Energy: -30033.214931 eV
Step: 1820, Temperature: 258.80 K, Total Energy: -30033.401273 eV
Step: 1840, Temperature: 299.47 K, Total Energy: -30032.296213 eV
Step: 1860, Temperature: 292.67 K, Total Energy: -30032.756171 eV
Step: 1880, Temperature: 292.95 K, Total Energy: -30032.413174 eV
Step: 1900, Temperature: 301.30 K, Total Energy: -30033.247086 eV
Step: 1920, Temperature: 251.61 K, Total Energy: -30033.392237 eV
Step: 1940, Temperature: 277.46 K, Total Energy: -30033.264481 eV
Step: 1960, Temperature: 261.49 K, Total Energy: -30033.480982 eV
Step: 1980, Temperature: 267.07 K, Total Energy: -30033.397277 eV
Step: 2000, Temperature: 264.29 K, Total Energy: -30033.419285 eV
Step: 2020, Temperature: 281.51 K, Total Energy: -30033.579929 eV
Step: 2040, Temperature: 285.89 K, Total Energy: -30033.383380 eV
Step: 2060, Temperature: 288.02 K, Total Energy: -30033.117481 eV
Step: 2080, Temperature: 291.46 K, Total Energy: -30032.746918 eV
Step: 2100, Temperature: 285.67 K, Total Energy: -30032.654505 eV
Step: 2120, Temperature: 300.65 K, Total Energy: -30032.345118 eV
Step: 2140, Temperature: 306.51 K, Total Energy: -30032.400839 eV
Step: 2160, Temperature: 294.51 K, Total Energy: -30032.392016 eV
Step: 2180, Temperature: 286.53 K, Total Energy: -30033.031523 eV
Step: 2200, Temperature: 309.91 K, Total Energy: -30032.257991 eV
Step: 2220, Temperature: 301.56 K, Total Energy: -30032.351912 eV
Step: 2240, Temperature: 301.97 K, Total Energy: -30032.173800 eV
Step: 2260, Temperature: 329.86 K, Total Energy: -30031.883919 eV
Step: 2280, Temperature: 302.72 K, Total Energy: -30032.246767 eV
Step: 2300, Temperature: 271.97 K, Total Energy: -30033.330237 eV
Step: 2320, Temperature: 282.79 K, Total Energy: -30033.264885 eV
Step: 2340, Temperature: 278.72 K, Total Energy: -30033.078951 eV
Step: 2360, Temperature: 301.93 K, Total Energy: -30032.618042 eV
Step: 2380, Temperature: 298.24 K, Total Energy: -30032.752582 eV
Step: 2400, Temperature: 272.22 K, Total Energy: -30032.976527 eV
Step: 2420, Temperature: 293.93 K, Total Energy: -30032.974703 eV
Step: 2440, Temperature: 304.34 K, Total Energy: -30032.925483 eV
Step: 2460, Temperature: 300.51 K, Total Energy: -30032.717652 eV
Step: 2480, Temperature: 313.07 K, Total Energy: -30032.495908 eV
Step: 2500, Temperature: 269.96 K, Total Energy: -30033.208370 eV
Step: 2520, Temperature: 285.29 K, Total Energy: -30033.919611 eV
Step: 2540, Temperature: 277.78 K, Total Energy: -30033.500605 eV
Step: 2560, Temperature: 263.85 K, Total Energy: -30033.270169 eV
Step: 2580, Temperature: 265.21 K, Total Energy: -30033.015661 eV
Step: 2600, Temperature: 297.54 K, Total Energy: -30032.670332 eV
Step: 2620, Temperature: 316.40 K, Total Energy: -30032.737553 eV
Step: 2640, Temperature: 271.22 K, Total Energy: -30032.598970 eV
Step: 2660, Temperature: 319.16 K, Total Energy: -30031.752895 eV
Step: 2680, Temperature: 301.93 K, Total Energy: -30031.842769 eV
Step: 2700, Temperature: 313.31 K, Total Energy: -30031.702716 eV
Step: 2720, Temperature: 295.33 K, Total Energy: -30032.067048 eV
Step: 2740, Temperature: 265.27 K, Total Energy: -30032.918408 eV
Step: 2760, Temperature: 287.14 K, Total Energy: -30032.440089 eV
Step: 2780, Temperature: 288.26 K, Total Energy: -30032.705471 eV
Step: 2800, Temperature: 293.42 K, Total Energy: -30032.715892 eV
Step: 2820, Temperature: 320.58 K, Total Energy: -30032.792014 eV
Step: 2840, Temperature: 292.49 K, Total Energy: -30032.666788 eV
Step: 2860, Temperature: 278.57 K, Total Energy: -30032.301298 eV
Step: 2880, Temperature: 302.78 K, Total Energy: -30032.270900 eV
Step: 2900, Temperature: 286.19 K, Total Energy: -30032.299805 eV
Step: 2920, Temperature: 300.05 K, Total Energy: -30032.570874 eV
Step: 2940, Temperature: 329.19 K, Total Energy: -30031.998265 eV
Step: 2960, Temperature: 312.78 K, Total Energy: -30032.352596 eV
Step: 2980, Temperature: 335.43 K, Total Energy: -30032.237783 eV
Step: 3000, Temperature: 288.93 K, Total Energy: -30032.628130 eV
Step: 3020, Temperature: 291.72 K, Total Energy: -30032.590202 eV
Step: 3040, Temperature: 302.08 K, Total Energy: -30032.485315 eV
Step: 3060, Temperature: 300.05 K, Total Energy: -30032.592363 eV
Step: 3080, Temperature: 284.82 K, Total Energy: -30032.902049 eV
Step: 3100, Temperature: 328.20 K, Total Energy: -30033.231769 eV
Step: 3120, Temperature: 294.69 K, Total Energy: -30033.331001 eV
Step: 3140, Temperature: 313.94 K, Total Energy: -30033.001632 eV
Step: 3160, Temperature: 296.51 K, Total Energy: -30033.076712 eV
Step: 3180, Temperature: 298.21 K, Total Energy: -30033.362692 eV
Step: 3200, Temperature: 272.83 K, Total Energy: -30033.592110 eV
Step: 3220, Temperature: 282.74 K, Total Energy: -30033.180334 eV
Step: 3240, Temperature: 264.05 K, Total Energy: -30033.396144 eV
Step: 3260, Temperature: 275.39 K, Total Energy: -30033.093046 eV
Step: 3280, Temperature: 272.96 K, Total Energy: -30032.977538 eV
Step: 3300, Temperature: 293.81 K, Total Energy: -30032.573526 eV
Step: 3320, Temperature: 289.72 K, Total Energy: -30033.133945 eV
Step: 3340, Temperature: 298.33 K, Total Energy: -30032.678151 eV
Step: 3360, Temperature: 308.58 K, Total Energy: -30032.605344 eV
Step: 3380, Temperature: 283.61 K, Total Energy: -30031.748600 eV
Step: 3400, Temperature: 311.40 K, Total Energy: -30032.162287 eV
Step: 3420, Temperature: 315.79 K, Total Energy: -30032.285785 eV
Step: 3440, Temperature: 289.96 K, Total Energy: -30032.040084 eV
Step: 3460, Temperature: 299.75 K, Total Energy: -30032.318605 eV
Step: 3480, Temperature: 303.76 K, Total Energy: -30032.635199 eV
Step: 3500, Temperature: 288.93 K, Total Energy: -30032.671266 eV
Step: 3520, Temperature: 302.27 K, Total Energy: -30032.781573 eV
Step: 3540, Temperature: 278.33 K, Total Energy: -30032.953808 eV
Step: 3560, Temperature: 297.60 K, Total Energy: -30032.791956 eV
Step: 3580, Temperature: 301.95 K, Total Energy: -30032.906618 eV
Step: 3600, Temperature: 292.19 K, Total Energy: -30032.935894 eV
Step: 3620, Temperature: 309.28 K, Total Energy: -30032.630931 eV
Step: 3640, Temperature: 308.09 K, Total Energy: -30032.679995 eV
Step: 3660, Temperature: 303.79 K, Total Energy: -30032.230075 eV
Step: 3680, Temperature: 304.07 K, Total Energy: -30032.045341 eV
Step: 3700, Temperature: 314.13 K, Total Energy: -30032.305614 eV
Step: 3720, Temperature: 287.23 K, Total Energy: -30032.308999 eV
Step: 3740, Temperature: 291.40 K, Total Energy: -30032.588296 eV
Step: 3760, Temperature: 301.20 K, Total Energy: -30032.499406 eV
Step: 3780, Temperature: 302.52 K, Total Energy: -30032.474607 eV
Step: 3800, Temperature: 310.48 K, Total Energy: -30032.563975 eV
Step: 3820, Temperature: 306.12 K, Total Energy: -30032.299335 eV
Step: 3840, Temperature: 298.17 K, Total Energy: -30032.203532 eV
Step: 3860, Temperature: 309.72 K, Total Energy: -30032.499007 eV
Step: 3880, Temperature: 297.16 K, Total Energy: -30032.210985 eV
Step: 3900, Temperature: 299.83 K, Total Energy: -30032.842102 eV
Step: 3920, Temperature: 290.34 K, Total Energy: -30032.952530 eV
Step: 3940, Temperature: 293.86 K, Total Energy: -30032.947291 eV
Step: 3960, Temperature: 287.41 K, Total Energy: -30032.484212 eV
Step: 3980, Temperature: 304.79 K, Total Energy: -30032.283343 eV
Step: 4000, Temperature: 296.23 K, Total Energy: -30032.944956 eV
Step: 4020, Temperature: 285.67 K, Total Energy: -30032.990238 eV
Step: 4040, Temperature: 286.30 K, Total Energy: -30032.826387 eV
Step: 4060, Temperature: 313.89 K, Total Energy: -30032.168843 eV
Step: 4080, Temperature: 319.64 K, Total Energy: -30031.721517 eV
Step: 4100, Temperature: 323.26 K, Total Energy: -30031.699975 eV
Step: 4120, Temperature: 282.11 K, Total Energy: -30032.539521 eV
Step: 4140, Temperature: 289.78 K, Total Energy: -30032.745649 eV
Step: 4160, Temperature: 282.14 K, Total Energy: -30032.837810 eV
Step: 4180, Temperature: 289.06 K, Total Energy: -30033.050838 eV
Step: 4200, Temperature: 280.69 K, Total Energy: -30033.155021 eV
Step: 4220, Temperature: 300.22 K, Total Energy: -30033.170177 eV
Step: 4240, Temperature: 286.16 K, Total Energy: -30033.054440 eV
Step: 4260, Temperature: 297.39 K, Total Energy: -30033.347835 eV
Step: 4280, Temperature: 294.46 K, Total Energy: -30032.549444 eV
Step: 4300, Temperature: 308.82 K, Total Energy: -30032.306317 eV
Step: 4320, Temperature: 310.51 K, Total Energy: -30032.080916 eV
Step: 4340, Temperature: 317.04 K, Total Energy: -30032.370096 eV
Step: 4360, Temperature: 342.63 K, Total Energy: -30032.240894 eV
Step: 4380, Temperature: 281.43 K, Total Energy: -30032.892560 eV
Step: 4400, Temperature: 303.17 K, Total Energy: -30032.456376 eV
Step: 4420, Temperature: 283.01 K, Total Energy: -30032.685389 eV
Step: 4440, Temperature: 296.30 K, Total Energy: -30032.900319 eV
Step: 4460, Temperature: 261.42 K, Total Energy: -30032.990549 eV
Step: 4480, Temperature: 318.43 K, Total Energy: -30032.265325 eV
Step: 4500, Temperature: 277.56 K, Total Energy: -30032.318542 eV
Step: 4520, Temperature: 322.77 K, Total Energy: -30031.384103 eV
Step: 4540, Temperature: 329.72 K, Total Energy: -30031.801399 eV
Step: 4560, Temperature: 331.06 K, Total Energy: -30032.080591 eV
Step: 4580, Temperature: 322.31 K, Total Energy: -30031.813409 eV
Step: 4600, Temperature: 307.19 K, Total Energy: -30032.044040 eV
Step: 4620, Temperature: 319.20 K, Total Energy: -30032.408126 eV
Step: 4640, Temperature: 327.80 K, Total Energy: -30031.518996 eV
Step: 4660, Temperature: 301.32 K, Total Energy: -30031.793243 eV
Step: 4680, Temperature: 292.33 K, Total Energy: -30032.043932 eV
Step: 4700, Temperature: 312.34 K, Total Energy: -30032.730726 eV
Step: 4720, Temperature: 283.11 K, Total Energy: -30033.264886 eV
Step: 4740, Temperature: 278.31 K, Total Energy: -30033.362513 eV
Step: 4760, Temperature: 284.86 K, Total Energy: -30034.080802 eV
Step: 4780, Temperature: 274.86 K, Total Energy: -30033.809371 eV
Step: 4800, Temperature: 298.90 K, Total Energy: -30033.242143 eV
Step: 4820, Temperature: 279.05 K, Total Energy: -30033.191817 eV
Step: 4840, Temperature: 275.85 K, Total Energy: -30033.345491 eV
Step: 4860, Temperature: 295.76 K, Total Energy: -30032.679503 eV
Step: 4880, Temperature: 295.75 K, Total Energy: -30032.474457 eV
Step: 4900, Temperature: 301.42 K, Total Energy: -30032.456850 eV
Step: 4920, Temperature: 320.23 K, Total Energy: -30032.204955 eV
Step: 4940, Temperature: 292.92 K, Total Energy: -30032.695077 eV
Step: 4960, Temperature: 322.67 K, Total Energy: -30031.902142 eV
Step: 4980, Temperature: 319.02 K, Total Energy: -30032.139305 eV
Step: 5000, Temperature: 305.73 K, Total Energy: -30032.072522 eV
Step: 5020, Temperature: 328.19 K, Total Energy: -30032.405911 eV
Step: 5040, Temperature: 307.53 K, Total Energy: -30032.754437 eV
Step: 5060, Temperature: 294.22 K, Total Energy: -30032.678517 eV
Step: 5080, Temperature: 304.65 K, Total Energy: -30033.191182 eV
Step: 5100, Temperature: 273.05 K, Total Energy: -30033.463695 eV
Step: 5120, Temperature: 307.92 K, Total Energy: -30033.303262 eV
Step: 5140, Temperature: 284.30 K, Total Energy: -30033.246945 eV
Step: 5160, Temperature: 300.91 K, Total Energy: -30033.161042 eV
Step: 5180, Temperature: 310.62 K, Total Energy: -30033.166037 eV
Step: 5200, Temperature: 284.21 K, Total Energy: -30033.128133 eV
Step: 5220, Temperature: 316.66 K, Total Energy: -30033.209542 eV
Step: 5240, Temperature: 276.56 K, Total Energy: -30033.402088 eV
Step: 5260, Temperature: 295.35 K, Total Energy: -30033.091825 eV
Step: 5280, Temperature: 297.33 K, Total Energy: -30032.486070 eV
Step: 5300, Temperature: 299.74 K, Total Energy: -30032.400903 eV
Step: 5320, Temperature: 313.11 K, Total Energy: -30031.854373 eV
Step: 5340, Temperature: 312.36 K, Total Energy: -30032.079960 eV
Step: 5360, Temperature: 307.33 K, Total Energy: -30031.198900 eV
Step: 5380, Temperature: 329.39 K, Total Energy: -30031.266751 eV
Step: 5400, Temperature: 313.68 K, Total Energy: -30031.918274 eV
Step: 5420, Temperature: 305.65 K, Total Energy: -30032.297169 eV
Step: 5440, Temperature: 302.54 K, Total Energy: -30032.993476 eV
Step: 5460, Temperature: 279.09 K, Total Energy: -30033.788375 eV
Step: 5480, Temperature: 290.26 K, Total Energy: -30033.593199 eV
Step: 5500, Temperature: 282.68 K, Total Energy: -30033.480662 eV
Step: 5520, Temperature: 317.14 K, Total Energy: -30032.859696 eV
Step: 5540, Temperature: 287.28 K, Total Energy: -30032.807738 eV
Step: 5560, Temperature: 289.30 K, Total Energy: -30033.099377 eV
Step: 5580, Temperature: 299.12 K, Total Energy: -30032.916229 eV
Step: 5600, Temperature: 308.40 K, Total Energy: -30033.000437 eV
Step: 5620, Temperature: 291.23 K, Total Energy: -30032.739098 eV
Step: 5640, Temperature: 299.27 K, Total Energy: -30032.828516 eV
Step: 5660, Temperature: 283.18 K, Total Energy: -30032.964179 eV
Step: 5680, Temperature: 281.10 K, Total Energy: -30032.918281 eV
Step: 5700, Temperature: 293.74 K, Total Energy: -30033.059475 eV
Step: 5720, Temperature: 296.69 K, Total Energy: -30032.738447 eV
Step: 5740, Temperature: 285.64 K, Total Energy: -30033.024230 eV
Step: 5760, Temperature: 267.84 K, Total Energy: -30032.868519 eV
Step: 5780, Temperature: 294.08 K, Total Energy: -30032.332321 eV
Step: 5800, Temperature: 320.16 K, Total Energy: -30032.884340 eV
Step: 5820, Temperature: 300.20 K, Total Energy: -30033.137521 eV
Step: 5840, Temperature: 275.69 K, Total Energy: -30033.704877 eV
Step: 5860, Temperature: 288.70 K, Total Energy: -30033.669068 eV
Step: 5880, Temperature: 290.20 K, Total Energy: -30033.296011 eV
Step: 5900, Temperature: 306.38 K, Total Energy: -30033.421648 eV
Step: 5920, Temperature: 284.02 K, Total Energy: -30033.589923 eV
Step: 5940, Temperature: 306.25 K, Total Energy: -30033.585110 eV
Step: 5960, Temperature: 265.86 K, Total Energy: -30033.255350 eV
Step: 5980, Temperature: 282.22 K, Total Energy: -30033.486013 eV
Step: 6000, Temperature: 297.15 K, Total Energy: -30033.088354 eV
Step: 6020, Temperature: 283.81 K, Total Energy: -30033.192749 eV
Step: 6040, Temperature: 306.35 K, Total Energy: -30032.406901 eV
Step: 6060, Temperature: 304.78 K, Total Energy: -30032.543378 eV
Step: 6080, Temperature: 313.32 K, Total Energy: -30032.606915 eV
Step: 6100, Temperature: 317.10 K, Total Energy: -30032.960425 eV
Step: 6120, Temperature: 295.67 K, Total Energy: -30033.525335 eV
Step: 6140, Temperature: 279.61 K, Total Energy: -30033.984508 eV
Step: 6160, Temperature: 311.78 K, Total Energy: -30033.355994 eV
Step: 6180, Temperature: 309.23 K, Total Energy: -30033.169280 eV
Step: 6200, Temperature: 321.06 K, Total Energy: -30032.977204 eV
Step: 6220, Temperature: 304.49 K, Total Energy: -30033.605249 eV
Step: 6240, Temperature: 307.51 K, Total Energy: -30033.957988 eV
Step: 6260, Temperature: 295.22 K, Total Energy: -30033.509135 eV
Step: 6280, Temperature: 325.40 K, Total Energy: -30032.881276 eV
Step: 6300, Temperature: 323.08 K, Total Energy: -30032.649675 eV
Step: 6320, Temperature: 319.03 K, Total Energy: -30032.935857 eV
Step: 6340, Temperature: 284.35 K, Total Energy: -30033.075937 eV
Step: 6360, Temperature: 307.49 K, Total Energy: -30033.202677 eV
Step: 6380, Temperature: 313.23 K, Total Energy: -30032.790690 eV
Step: 6400, Temperature: 290.28 K, Total Energy: -30032.864159 eV
Step: 6420, Temperature: 302.26 K, Total Energy: -30032.900900 eV
Step: 6440, Temperature: 299.86 K, Total Energy: -30032.855088 eV
Step: 6460, Temperature: 314.32 K, Total Energy: -30032.859443 eV
Step: 6480, Temperature: 305.45 K, Total Energy: -30032.821616 eV
Step: 6500, Temperature: 309.36 K, Total Energy: -30033.537179 eV
Step: 6520, Temperature: 309.92 K, Total Energy: -30032.818290 eV
Step: 6540, Temperature: 308.87 K, Total Energy: -30033.125423 eV
Step: 6560, Temperature: 299.99 K, Total Energy: -30033.056861 eV
Step: 6580, Temperature: 296.40 K, Total Energy: -30032.833468 eV
Step: 6600, Temperature: 309.21 K, Total Energy: -30032.859282 eV
Step: 6620, Temperature: 322.95 K, Total Energy: -30032.256509 eV
Step: 6640, Temperature: 308.23 K, Total Energy: -30031.578863 eV
Step: 6660, Temperature: 323.12 K, Total Energy: -30031.664374 eV
Step: 6680, Temperature: 327.93 K, Total Energy: -30031.240285 eV
Step: 6700, Temperature: 327.12 K, Total Energy: -30031.801553 eV
Step: 6720, Temperature: 284.31 K, Total Energy: -30031.811258 eV
Step: 6740, Temperature: 303.06 K, Total Energy: -30031.865492 eV
Step: 6760, Temperature: 307.47 K, Total Energy: -30031.515753 eV
Step: 6780, Temperature: 323.65 K, Total Energy: -30031.362155 eV
Step: 6800, Temperature: 320.72 K, Total Energy: -30031.700671 eV
Step: 6820, Temperature: 264.19 K, Total Energy: -30032.775443 eV
Step: 6840, Temperature: 247.84 K, Total Energy: -30033.302250 eV
Step: 6860, Temperature: 274.17 K, Total Energy: -30032.572552 eV
Step: 6880, Temperature: 328.21 K, Total Energy: -30032.374103 eV
Step: 6900, Temperature: 316.94 K, Total Energy: -30032.298174 eV
Step: 6920, Temperature: 330.25 K, Total Energy: -30032.434681 eV
Step: 6940, Temperature: 324.97 K, Total Energy: -30031.649766 eV
Step: 6960, Temperature: 325.82 K, Total Energy: -30031.874842 eV
Step: 6980, Temperature: 293.55 K, Total Energy: -30032.322034 eV
Step: 7000, Temperature: 268.13 K, Total Energy: -30033.482220 eV
Step: 7020, Temperature: 304.08 K, Total Energy: -30033.232760 eV
Step: 7040, Temperature: 291.03 K, Total Energy: -30032.746005 eV
Step: 7060, Temperature: 293.65 K, Total Energy: -30032.792387 eV
Step: 7080, Temperature: 292.61 K, Total Energy: -30032.589507 eV
Step: 7100, Temperature: 282.09 K, Total Energy: -30032.426858 eV
Step: 7120, Temperature: 299.52 K, Total Energy: -30032.586084 eV
Step: 7140, Temperature: 310.18 K, Total Energy: -30032.434736 eV
Step: 7160, Temperature: 314.21 K, Total Energy: -30032.516383 eV
Step: 7180, Temperature: 288.15 K, Total Energy: -30032.731572 eV
Step: 7200, Temperature: 302.80 K, Total Energy: -30032.504682 eV
Step: 7220, Temperature: 305.90 K, Total Energy: -30032.570315 eV
Step: 7240, Temperature: 274.53 K, Total Energy: -30032.946412 eV
Step: 7260, Temperature: 278.79 K, Total Energy: -30033.114246 eV
Step: 7280, Temperature: 295.59 K, Total Energy: -30032.974659 eV
Step: 7300, Temperature: 294.64 K, Total Energy: -30033.115473 eV
Step: 7320, Temperature: 289.49 K, Total Energy: -30033.446241 eV
Step: 7340, Temperature: 283.91 K, Total Energy: -30033.360249 eV
Step: 7360, Temperature: 273.17 K, Total Energy: -30033.564174 eV
Step: 7380, Temperature: 293.85 K, Total Energy: -30033.226730 eV
Step: 7400, Temperature: 275.96 K, Total Energy: -30032.897310 eV
