nohup: ignoring input
/global/cfs/cdirs/m4555/Jun/mattersim-LR/src/mattersim/__version__.py:2: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
[32m2025-11-11 20:42:02.699[0m | [1mINFO    [0m | [36mmattersim.forcefield.potential[0m:[36mfrom_checkpoint[0m:[36m908[0m - [1mLoading the model from ../hard_const/results/best_model.pth[0m
Step: 1700, Temperature: 297.93 K, Total Energy: -30035.605618 eV
Step: 1720, Temperature: 292.10 K, Total Energy: -30035.690268 eV
Step: 1740, Temperature: 306.28 K, Total Energy: -30035.461759 eV
Step: 1760, Temperature: 293.62 K, Total Energy: -30035.632376 eV
Step: 1780, Temperature: 295.07 K, Total Energy: -30035.423808 eV
Step: 1800, Temperature: 298.84 K, Total Energy: -30035.176477 eV
Step: 1820, Temperature: 276.85 K, Total Energy: -30035.183802 eV
Step: 1840, Temperature: 325.29 K, Total Energy: -30034.648390 eV
Step: 1860, Temperature: 306.07 K, Total Energy: -30034.439541 eV
Step: 1880, Temperature: 307.24 K, Total Energy: -30034.781159 eV
Step: 1900, Temperature: 291.50 K, Total Energy: -30035.435668 eV
Step: 1920, Temperature: 270.23 K, Total Energy: -30035.491427 eV
Step: 1940, Temperature: 274.86 K, Total Energy: -30035.974182 eV
Step: 1960, Temperature: 279.83 K, Total Energy: -30036.017023 eV
Step: 1980, Temperature: 307.91 K, Total Energy: -30035.375589 eV
Step: 2000, Temperature: 299.47 K, Total Energy: -30035.592235 eV
Step: 2020, Temperature: 295.58 K, Total Energy: -30035.713737 eV
Step: 2040, Temperature: 311.21 K, Total Energy: -30035.501465 eV
Step: 2060, Temperature: 296.01 K, Total Energy: -30034.974412 eV
Step: 2080, Temperature: 288.43 K, Total Energy: -30035.147930 eV
Step: 2100, Temperature: 270.05 K, Total Energy: -30036.009587 eV
Step: 2120, Temperature: 272.86 K, Total Energy: -30035.694515 eV
Step: 2140, Temperature: 314.81 K, Total Energy: -30035.375517 eV
Step: 2160, Temperature: 268.03 K, Total Energy: -30035.652377 eV
Step: 2180, Temperature: 302.99 K, Total Energy: -30034.802385 eV
Step: 2200, Temperature: 304.55 K, Total Energy: -30034.390053 eV
Step: 2220, Temperature: 266.83 K, Total Energy: -30035.289883 eV
Step: 2240, Temperature: 282.44 K, Total Energy: -30035.226656 eV
Step: 2260, Temperature: 291.40 K, Total Energy: -30034.506613 eV
Step: 2280, Temperature: 301.23 K, Total Energy: -30034.967887 eV
Step: 2300, Temperature: 312.42 K, Total Energy: -30034.986621 eV
Step: 2320, Temperature: 307.67 K, Total Energy: -30034.979277 eV
Step: 2340, Temperature: 292.92 K, Total Energy: -30034.771021 eV
Step: 2360, Temperature: 293.86 K, Total Energy: -30034.755107 eV
Step: 2380, Temperature: 287.00 K, Total Energy: -30035.090074 eV
Step: 2400, Temperature: 273.75 K, Total Energy: -30035.512065 eV
Step: 2420, Temperature: 319.31 K, Total Energy: -30035.170377 eV
Step: 2440, Temperature: 274.39 K, Total Energy: -30035.978294 eV
Step: 2460, Temperature: 288.38 K, Total Energy: -30035.758567 eV
Step: 2480, Temperature: 307.38 K, Total Energy: -30035.748469 eV
Step: 2500, Temperature: 273.89 K, Total Energy: -30036.104137 eV
Step: 2520, Temperature: 320.53 K, Total Energy: -30035.717813 eV
Step: 2540, Temperature: 279.24 K, Total Energy: -30035.725171 eV
Step: 2560, Temperature: 296.77 K, Total Energy: -30034.765726 eV
Step: 2580, Temperature: 276.42 K, Total Energy: -30034.987839 eV
Step: 2600, Temperature: 287.06 K, Total Energy: -30035.178635 eV
Step: 2620, Temperature: 296.37 K, Total Energy: -30035.541616 eV
Step: 2640, Temperature: 317.31 K, Total Energy: -30034.919921 eV
Step: 2660, Temperature: 295.62 K, Total Energy: -30035.017369 eV
Step: 2680, Temperature: 304.75 K, Total Energy: -30035.002234 eV
Step: 2700, Temperature: 301.65 K, Total Energy: -30035.406351 eV
Step: 2720, Temperature: 291.48 K, Total Energy: -30035.949971 eV
Step: 2740, Temperature: 266.45 K, Total Energy: -30035.748804 eV
Step: 2760, Temperature: 309.22 K, Total Energy: -30035.141327 eV
Step: 2780, Temperature: 273.97 K, Total Energy: -30035.494804 eV
Step: 2800, Temperature: 270.48 K, Total Energy: -30035.832805 eV
Step: 2820, Temperature: 284.03 K, Total Energy: -30035.401302 eV
Step: 2840, Temperature: 285.29 K, Total Energy: -30035.365667 eV
Step: 2860, Temperature: 306.43 K, Total Energy: -30035.358239 eV
Step: 2880, Temperature: 308.43 K, Total Energy: -30034.596891 eV
Step: 2900, Temperature: 316.18 K, Total Energy: -30034.565593 eV
Step: 2920, Temperature: 315.72 K, Total Energy: -30034.626086 eV
Step: 2940, Temperature: 308.92 K, Total Energy: -30034.197725 eV
Step: 2960, Temperature: 321.60 K, Total Energy: -30034.368360 eV
Step: 2980, Temperature: 311.79 K, Total Energy: -30034.807147 eV
Step: 3000, Temperature: 265.25 K, Total Energy: -30035.449067 eV
Step: 3020, Temperature: 300.82 K, Total Energy: -30034.980123 eV
Step: 3040, Temperature: 300.80 K, Total Energy: -30035.078300 eV
Step: 3060, Temperature: 296.28 K, Total Energy: -30035.399166 eV
Step: 3080, Temperature: 292.09 K, Total Energy: -30036.082942 eV
Step: 3100, Temperature: 299.34 K, Total Energy: -30036.044800 eV
Step: 3120, Temperature: 282.16 K, Total Energy: -30035.874221 eV
Step: 3140, Temperature: 305.28 K, Total Energy: -30035.170331 eV
Step: 3160, Temperature: 302.84 K, Total Energy: -30034.685116 eV
Step: 3180, Temperature: 281.27 K, Total Energy: -30035.170214 eV
Step: 3200, Temperature: 329.90 K, Total Energy: -30034.542173 eV
Step: 3220, Temperature: 331.55 K, Total Energy: -30034.592233 eV
Step: 3240, Temperature: 328.03 K, Total Energy: -30034.770726 eV
Step: 3260, Temperature: 283.73 K, Total Energy: -30035.373895 eV
Step: 3280, Temperature: 282.80 K, Total Energy: -30035.709722 eV
Step: 3300, Temperature: 312.42 K, Total Energy: -30035.213031 eV
Step: 3320, Temperature: 330.27 K, Total Energy: -30035.020974 eV
Step: 3340, Temperature: 304.83 K, Total Energy: -30035.339863 eV
Step: 3360, Temperature: 304.79 K, Total Energy: -30035.348932 eV
Step: 3380, Temperature: 301.19 K, Total Energy: -30034.976538 eV
Step: 3400, Temperature: 293.10 K, Total Energy: -30034.746928 eV
Step: 3420, Temperature: 331.89 K, Total Energy: -30035.013371 eV
Step: 3440, Temperature: 263.51 K, Total Energy: -30035.826818 eV
Step: 3460, Temperature: 267.85 K, Total Energy: -30035.789633 eV
Step: 3480, Temperature: 276.07 K, Total Energy: -30035.150938 eV
Step: 3500, Temperature: 283.19 K, Total Energy: -30035.291726 eV
Step: 3520, Temperature: 301.16 K, Total Energy: -30035.375839 eV
Step: 3540, Temperature: 298.69 K, Total Energy: -30034.914679 eV
Step: 3560, Temperature: 334.03 K, Total Energy: -30034.480967 eV
Step: 3580, Temperature: 289.71 K, Total Energy: -30035.156700 eV
Step: 3600, Temperature: 297.40 K, Total Energy: -30034.980315 eV
Step: 3620, Temperature: 304.67 K, Total Energy: -30035.056865 eV
Step: 3640, Temperature: 325.38 K, Total Energy: -30034.804443 eV
Step: 3660, Temperature: 312.79 K, Total Energy: -30034.383374 eV
Step: 3680, Temperature: 316.52 K, Total Energy: -30033.861742 eV
Step: 3700, Temperature: 334.61 K, Total Energy: -30033.901955 eV
Step: 3720, Temperature: 341.82 K, Total Energy: -30033.415340 eV
Step: 3740, Temperature: 312.55 K, Total Energy: -30033.864083 eV
Step: 3760, Temperature: 320.02 K, Total Energy: -30033.812518 eV
Step: 3780, Temperature: 313.04 K, Total Energy: -30033.904420 eV
Step: 3800, Temperature: 326.06 K, Total Energy: -30034.304820 eV
Step: 3820, Temperature: 321.87 K, Total Energy: -30034.642873 eV
Step: 3840, Temperature: 317.83 K, Total Energy: -30035.172530 eV
Step: 3860, Temperature: 317.46 K, Total Energy: -30035.056910 eV
Step: 3880, Temperature: 300.95 K, Total Energy: -30035.025577 eV
Step: 3900, Temperature: 338.35 K, Total Energy: -30034.659079 eV
Step: 3920, Temperature: 326.20 K, Total Energy: -30034.522161 eV
Step: 3940, Temperature: 322.91 K, Total Energy: -30034.616678 eV
Step: 3960, Temperature: 338.82 K, Total Energy: -30034.770237 eV
Step: 3980, Temperature: 286.95 K, Total Energy: -30035.937177 eV
Step: 4000, Temperature: 296.68 K, Total Energy: -30035.785727 eV
Step: 4020, Temperature: 288.32 K, Total Energy: -30035.867549 eV
Step: 4040, Temperature: 322.01 K, Total Energy: -30035.762513 eV
Step: 4060, Temperature: 323.77 K, Total Energy: -30035.407595 eV
Step: 4080, Temperature: 295.42 K, Total Energy: -30035.831045 eV
Step: 4100, Temperature: 282.76 K, Total Energy: -30036.136469 eV
Step: 4120, Temperature: 292.15 K, Total Energy: -30036.347116 eV
Step: 4140, Temperature: 292.42 K, Total Energy: -30035.861648 eV
