,T,E
119,287.0044181370058,-30035.09007400297
120,273.7494674228578,-30035.512064823022
121,319.30776339153266,-30035.17037710658
122,274.39189569476514,-30035.97829384936
123,288.37839391217227,-30035.758566993813
124,307.376006261421,-30035.748469042708
125,273.8935340641653,-30036.104136648744
126,320.52531354503134,-30035.717812913346
127,279.24250853158145,-30035.725171424885
128,296.7729585899218,-30034.76572618848
129,276.4153093891641,-30034.987839183534
130,287.0553045432715,-30035.17863512592
131,296.36571252054665,-30035.541616107163
132,317.3111962051811,-30034.91992071261
133,295.62296921521465,-30035.017368715584
134,304.7470320465562,-30035.002234155036
135,301.6546620950088,-30035.406351352223
136,291.47797848106705,-30035.94997107221
137,266.44932200289844,-30035.748804409457
138,309.2246031505343,-30035.1413270053
139,273.9693444393198,-30035.494803920836
140,270.47804014880444,-30035.832804658792
141,284.03286235256473,-30035.401302245562
142,285.2916700874982,-30035.36566687647
143,306.43048003774857,-30035.35823918476
144,308.4304327193338,-30034.59689149498
145,316.1811207650153,-30034.56559254523
146,315.7182986173821,-30034.62608642238
147,308.9242738206082,-30034.19772513866
148,321.6039136942144,-30034.36836042602
149,311.7894630428766,-30034.807146688792
150,265.2456079738944,-30035.449066728608
151,300.820022338017,-30034.980123399233
152,300.79939759516,-30035.078299510133
153,296.28316493837553,-30035.399165526032
154,292.09158700030787,-30036.08294214533
155,299.33887902633796,-30036.044800390224
156,282.16273098518457,-30035.87422144938
157,305.28436637311586,-30035.17033089691
158,302.8381068010845,-30034.68511556037
159,281.2678909613052,-30035.170214010726
160,329.89569511475895,-30034.542172843732
161,331.55154590669906,-30034.59223285494
162,328.03448757313504,-30034.770726491355
163,283.7254204790799,-30035.373895280496
164,282.79997013187517,-30035.709721896204
165,312.42388288713494,-30035.213030698083
166,330.2717897566114,-30035.020974368315
167,304.8349095457082,-30035.339862891928
168,304.78505514723616,-30035.348932006502
169,301.19471079127635,-30034.97653849277
170,293.1019510555702,-30034.746928345918
171,331.8907341029251,-30035.013370881992
172,263.50921419071227,-30035.826818109173
173,267.85153262258103,-30035.78963259653
174,276.06609966151774,-30035.150938131104
175,283.1884950579681,-30035.29172573188
176,301.16049180476944,-30035.375838505977
177,298.6896989493905,-30034.9146790478
178,334.0286655089528,-30034.48096721809
179,289.7077660981116,-30035.156699873954
180,297.4029829544166,-30034.980314738877
181,304.67179770858814,-30035.05686486353
182,325.3795477362051,-30034.804442960136
183,312.7945819752364,-30034.383374471327
184,316.51986165200327,-30033.861741847024
185,334.60629042609287,-30033.901954657777
186,341.8239944498109,-30033.415339938718
187,312.55261006790664,-30033.86408291551
188,320.02249095331223,-30033.81251815434
189,313.04445708809277,-30033.904419946382
190,326.0619690782994,-30034.304820183494
191,321.8712181846779,-30034.642872831566
192,317.8275828850401,-30035.1725298294
193,317.45542751465376,-30035.05691026276
194,300.95391941064935,-30035.025576555963
195,338.35298563242407,-30034.65907911525
196,326.1953671101764,-30034.52216091889
197,322.91045632564294,-30034.616678115864
198,338.8246610892865,-30034.770237084318
199,286.94888202974084,-30035.93717695394
200,296.67683660561795,-30035.78572713454
201,288.3165165956655,-30035.867548529346
202,322.0063673405323,-30035.762513178674
203,323.7667302209171,-30035.407595140445
204,295.42131639606515,-30035.83104526428
205,282.7616377607849,-30036.136469340116
206,292.14915336883325,-30036.34711614522
207,292.4249919851678,-30035.861647817226
208,279.27113579508426,-30035.552574854923
209,292.8320462641174,-30035.570137732757
210,261.1309209389516,-30035.710983384546
211,269.5298112363699,-30035.870377298983
212,298.50825399758355,-30035.636049368233
213,322.1491973498744,-30035.827272424558
214,304.91029442520403,-30035.70124401393
215,317.2581641691536,-30035.382194921738
216,313.48651261147404,-30035.428433881352
217,320.0500853037899,-30035.48955699466
218,274.18647188479576,-30035.409252948484
219,299.2929271315061,-30035.438536764497
220,329.4086474068892,-30035.099371092874
221,312.66470368075613,-30035.492116893514
222,323.9200863707585,-30034.470135942684
223,341.1772948457909,-30034.10156232426
224,312.27471193428886,-30035.59569690506
225,311.73866826660424,-30035.98616138124
226,325.2761810047209,-30035.769939015052
227,292.02330793391485,-30036.2233350414
228,289.2321182891091,-30035.936267030767
229,303.8172322647216,-30036.00809227625
230,289.21418785476664,-30036.44257835476
231,300.4730417072976,-30036.256447410877
232,279.22042949820764,-30036.022602942183
233,303.5200591018742,-30035.972613981237
234,292.49080027470035,-30035.5357703238
235,264.6215136960418,-30035.82417245628
236,308.76583556306474,-30034.84039055946
237,290.78465053728286,-30034.926431257285
238,310.1702419382147,-30034.385069650998
239,317.0906453943422,-30034.50165172325
240,328.1866953102914,-30034.73368686513
241,293.0236104253003,-30035.022340475658
242,310.44701948984516,-30034.90153078149
243,304.22215894829844,-30035.20491706929
244,298.55807391783804,-30035.117215497703
245,298.55899281599466,-30035.02344233624
246,280.0757386513501,-30035.39948178376
247,298.66830257950807,-30035.29607773309
248,308.66039070973,-30034.868438994876
249,289.51462316197876,-30035.52094317517
250,312.9717640742467,-30035.187502224046
251,311.76189577142554,-30034.65354466592
252,300.7625026181774,-30034.391729473533
253,279.1289285626672,-30034.601081161512
254,305.5819897451291,-30034.29564159409
255,316.434408374437,-30033.942020755952
256,301.25480167523136,-30034.066820735505
257,270.90392480648717,-30034.89238244161
258,304.23949996569354,-30034.89393310196
259,305.5618348686431,-30035.124274611684
260,312.652041039401,-30034.78149856414
261,327.25255719380647,-30034.927154337063
262,295.30873381919537,-30035.144429860953
263,287.3209567606645,-30034.898501678155
264,304.7208622461973,-30034.467737532945
265,309.51431627468185,-30034.466055835746
266,295.22371618452337,-30035.070400914203
267,291.6553468304679,-30035.170109755356
268,305.2311401892564,-30035.232219374666
269,312.8582023310695,-30035.06341150128
270,285.99221858353155,-30035.11949344238
271,321.7595889996792,-30035.096858397337
272,293.28749231873076,-30034.50592352513
273,280.65956839015615,-30035.07226595163
274,311.3713123601324,-30034.83526459079
275,298.2356534314854,-30034.92026420393
276,288.6408104645204,-30034.86718697822
277,293.5551293223649,-30034.93863067445
278,293.9928395360892,-30034.82994163595
279,314.05770937615983,-30035.226536472066
280,275.9190083883044,-30035.49839566832
281,299.11640802160827,-30035.43907980068
282,274.7734571217701,-30035.25578570484
283,321.8789120836773,-30034.650491401524
284,290.8143040079065,-30034.37099632106
285,324.4825595738721,-30034.1297865418
286,310.076777033243,-30034.008519248535
287,330.1233487617145,-30033.8919034262
288,319.5298012667891,-30034.526108613452
289,299.571888738229,-30034.76158346937
290,310.59659472925324,-30034.77276063419
291,310.2646783472408,-30034.87487681603
292,311.0309671520887,-30034.15634322702
293,315.8131986344466,-30034.377600651853
294,304.30551734007537,-30034.964534713406
295,280.3135933447061,-30034.983330241797
296,304.28732752969904,-30035.14468070015
297,302.6522043089095,-30035.039410736186
298,280.9939567309833,-30035.181024962356
299,279.8883399316739,-30034.886627173026
300,315.347423940999,-30034.53582519996
301,296.0943499712176,-30034.888299737795
302,327.4022647371867,-30034.84720897995
303,304.7525555074906,-30035.355610557388
304,281.74921940628326,-30035.67761304456
305,292.760540947712,-30035.26139319868
306,287.07035761222664,-30035.459505702915
307,296.8544985266483,-30035.55078029301
308,284.0099377587252,-30035.026880075795
309,295.16652822372225,-30035.190983001285
310,308.9657427005113,-30035.368554886878
311,294.26182976904425,-30035.776286551194
312,285.8667886315067,-30035.399998741024
313,309.73288597289536,-30035.36484351042
314,286.065709113218,-30035.65670356278
315,296.0967053573436,-30035.79253724366
316,311.5636099681448,-30035.47299572166
317,288.69445208363527,-30035.18810052913
318,315.3141718935788,-30034.7612727158
319,312.6041382864262,-30034.300284111145
320,301.09223274626567,-30034.80334027273
321,306.75027359549347,-30034.50252231708
322,322.66207688648916,-30034.134657441315
323,309.3008018160345,-30034.246828240266
324,316.1421378817399,-30034.37126263575
325,315.5596128808259,-30033.85469558106
326,314.3650474539997,-30034.46488355337
327,312.0764897940166,-30034.264755731125
328,351.29954021451584,-30033.731189757877
329,310.9584093586549,-30033.806609596355
330,318.72681633626735,-30034.29048902868
331,313.69355946995427,-30034.089230747166
332,329.2628577321516,-30033.7299989474
333,297.88337571819915,-30033.4564873572
334,303.7935825984925,-30033.711813382433
335,303.3914111803314,-30034.061794141024
336,293.71503633216395,-30033.834990732736
337,310.51466449555323,-30034.337325742363
338,328.31856300460214,-30034.33973804874
339,304.5250795609293,-30034.44337549586
340,290.49850542794155,-30034.80278436756
341,289.9010415745275,-30034.931125106974
342,310.2176954832551,-30034.860436051593
343,303.90292211295576,-30034.824291779394
344,298.8393114592312,-30034.27418921107
345,285.0124036043395,-30034.443018481215
346,284.27781724612703,-30034.580674863148
347,285.64392054220815,-30034.67710066027
348,304.77856055725033,-30034.76511133213
349,269.87350627625966,-30035.027729852925
350,303.8337791373789,-30034.880722075886
351,312.5182750301332,-30034.749713978872
352,289.418472946058,-30034.83781983282
353,296.43601205105983,-30034.987109783902
354,304.9763283786862,-30034.672235832488
355,281.53057837879066,-30034.83156154279
356,294.7866393162982,-30034.847042738787
357,308.37010231342094,-30034.604271539563
358,322.8985168095087,-30033.85721343462
359,311.89989849501166,-30034.01334746188
360,339.0016533448252,-30034.054838372176
361,302.56445709492107,-30034.498653715367
362,306.45633756735634,-30034.78727492785
363,312.10716641604347,-30034.56281063066
364,322.5425859989077,-30035.106419291733
365,314.26818558750466,-30035.06302814867
366,313.51499648047104,-30034.988262800744
367,290.95287781549905,-30035.21906597245
368,316.27015537248144,-30035.086785866406
369,282.0368995233911,-30034.859814993353
370,275.53583527451946,-30034.789303811518
371,295.9779467861089,-30034.463499385536
372,328.17703476386004,-30034.194867865877
373,337.87780748056434,-30033.555821934027
374,322.3555513457717,-30033.982227379453
375,339.88012763102205,-30033.70261769556
376,314.0324412403937,-30033.983032747896
377,301.8027567137689,-30034.65652477499
378,284.7984515721783,-30034.57927066508
379,280.8776701914587,-30034.742549794966
